subIndustry,total_revenue,total_bills,avg_revenue_per_bill,unique_franchises,cluster_label,low_confidence
Automobile Industry,79568.16,2,39784.08,1,New / Insufficient Data,True
Avionics and Communication system,31987.2,1,31987.2,1,New / Insufficient Data,True
Beauty,158270.0,1,158270.0,1,New / Insufficient Data,True
Beauty & Cosmetics,96000.0,1,96000.0,1,New / Insufficient Data,True
Beauty & Personal Care,14994.0,1,14994.0,1,New / Insufficient Data,True
"Building Materials (Ceramics, Tiles, Sanitaryware)",59976.0,1,59976.0,1,New / Insufficient Data,True
Business Services,39984.0,2,19992.0,1,New / Insufficient Data,True
Business and Management Consultancy Activities,37984.8,1,37984.8,1,New / Insufficient Data,True
CA Firm,55144.6,2,27572.3,1,New / Insufficient Data,True
COSMETICS/PHARMACEUTICALS,333200.0,1,333200.0,1,New / Insufficient Data,True
Clinical Research,19800.0,1,19800.0,1,New / Insufficient Data,True
Co Working Space,152439.0,2,76219.5,1,New / Insufficient Data,True
Construction,90000.0,1,90000.0,1,New / Insufficient Data,True
Construction Services,65973.6,2,32986.8,2,New / Insufficient Data,True
Creative services,72187.5,2,36093.75,1,New / Insufficient Data,True
Crop Production,233240.0,2,116620.0,1,New / Insufficient Data,True
Cybersecurity,42982.8,1,42982.8,1,New / Insufficient Data,True
Data Science,300000.0,1,300000.0,1,New / Insufficient Data,True
Diamonds,26989.2,1,26989.2,1,New / Insufficient Data,True
Digital,32986.8,1,32986.8,1,New / Insufficient Data,True
ERP Automation & Enterprise Software Consulting,39000.0,1,39000.0,1,New / Insufficient Data,True
Electronics and Automation,32836.86,1,32836.86,1,New / Insufficient Data,True
"Electronics, Batteries, Chip/ Memory Design",16993.2,1,16993.2,1,New / Insufficient Data,True
Energy & Power Solutions,27369.38,1,27369.38,1,New / Insufficient Data,True
Enterprise Solutions,53778.48,1,53778.48,1,New / Insufficient Data,True
Entertainment,37984.8,1,37984.8,1,New / Insufficient Data,True
FMCG,68172.72,2,34086.36,1,New / Insufficient Data,True
Facility Management & Hospitality,104125.0,2,52062.5,1,New / Insufficient Data,True
Fast-Moving Consumer Goods & Services,40500.0,1,40500.0,1,New / Insufficient Data,True
Financial,34986.0,1,34986.0,1,New / Insufficient Data,True
Financial Services,49980.0,2,24990.0,1,New / Insufficient Data,True
Freight Forwarding,44982.75,2,22491.375,1,New / Insufficient Data,True
Freight Forwarding & Logistics Services,59976.0,1,59976.0,1,New / Insufficient Data,True
Gems and Diamonds,91569.36,1,91569.36,1,New / Insufficient Data,True
Herbal Tea & Wellness Beverage Brand / Food & Beverage Manufacturing Company,44982.0,1,44982.0,1,New / Insufficient Data,True
ISO Certification (Audit),26212.5,1,26212.5,1,New / Insufficient Data,True
IT & ITES services,102450.0,2,51225.0,1,New / Insufficient Data,True
IT INDUSTRY,129948.0,1,129948.0,1,New / Insufficient Data,True
"Imitation , Fashion Jewellery",40483.8,1,40483.8,1,New / Insufficient Data,True
Immigration & Visa Consulting,37485.0,1,37485.0,1,New / Insufficient Data,True
Immigration services,26989.2,1,26989.2,1,New / Insufficient Data,True
Industrial Chemical Supplies (PU chemicals),11995.2,1,11995.2,1,New / Insufficient Data,True
Industrial Packaging Solutions,32986.8,1,32986.8,1,New / Insufficient Data,True
Integrated Digital Marketing / E-commerce Strategy,49500.0,1,49500.0,1,New / Insufficient Data,True
Jobs and other service provider,34510.0,2,17255.0,1,New / Insufficient Data,True
Jute Products Manufacturing,133289.99,2,66644.995,2,New / Insufficient Data,True
Kitchen Articles,21991.2,1,21991.2,1,New / Insufficient Data,True
Language services,14341.05,1,14341.05,1,New / Insufficient Data,True
Legal Services,24990.0,1,24990.0,1,New / Insufficient Data,True
Management Consulting & Strategy,44982.0,1,44982.0,1,New / Insufficient Data,True
Metal Products (Non-Ferrous),34986.0,1,34986.0,1,New / Insufficient Data,True
Network provider,84966.0,2,42483.0,2,New / Insufficient Data,True
Organic & Sustainable Farming,19992.0,1,19992.0,1,New / Insufficient Data,True
Overseas education,25989.6,1,25989.6,1,New / Insufficient Data,True
PR,124950.0,1,124950.0,1,New / Insufficient Data,True
Private education services,24990.0,1,24990.0,1,New / Insufficient Data,True
Real Estate Development and Management,90000.0,2,45000.0,1,New / Insufficient Data,True
Real Estate Development and Property Management,40500.0,2,20250.0,1,New / Insufficient Data,True
Research,47814.2,1,47814.2,1,New / Insufficient Data,True
Retail (Jewellery),41983.2,1,41983.2,1,New / Insufficient Data,True
Retail- Distributor,133280.0,1,133280.0,1,New / Insufficient Data,True
Service Provider,81634.0,2,40817.0,1,New / Insufficient Data,True
Service and Repair,91630.0,2,45815.0,2,New / Insufficient Data,True
Software Development,26322.8,1,26322.8,1,New / Insufficient Data,True
Software Development & IT Consulting,25989.6,1,25989.6,1,New / Insufficient Data,True
Software Development & Publishing,148400.0,2,74200.0,1,New / Insufficient Data,True
Solar,31500.0,1,31500.0,1,New / Insufficient Data,True
Spices,24990.0,1,24990.0,1,New / Insufficient Data,True
Structural & Civil Engineering,44982.0,1,44982.0,1,New / Insufficient Data,True
WAREHOUSING,58310.0,1,58310.0,1,New / Insufficient Data,True
Wealth & Asset Management,57477.0,2,28738.5,2,New / Insufficient Data,True
Web Development,104125.0,2,52062.5,1,New / Insufficient Data,True
"Wood, Plastic Recycling, Furniture, Fixtures, Fittings, Rubber",45981.6,2,22990.8,1,New / Insufficient Data,True
automation,38649.03,1,38649.03,1,New / Insufficient Data,True
communications,39984.0,1,39984.0,1,New / Insufficient Data,True
digital advertising,24990.0,1,24990.0,1,New / Insufficient Data,True
e commerce,58310.0,1,58310.0,1,New / Insufficient Data,True
hospitality,22990.8,1,22990.8,1,New / Insufficient Data,True
interior designing,24990.0,1,24990.0,1,New / Insufficient Data,True
it service,45581.76,1,45581.76,1,New / Insufficient Data,True
photograhy,24990.0,1,24990.0,1,New / Insufficient Data,True
public Relation,34986.0,1,34986.0,1,New / Insufficient Data,True
