subIndustry,total_revenue,total_bills,avg_revenue_per_bill,unique_franchises,cluster_label,low_confidence
Packaging,108151.0,11,9831.90909090909,8,Emerging / Niche,False
Digital Marketing,107895.0,9,11988.333333333334,4,Premium (High Value/Bill),False
"Shipping, Marine, Freight Forwarding",104276.0,13,8021.2307692307695,5,Emerging / Niche,False
"Recycling, Waste – Water Treatment",101163.0,16,6322.6875,10,Emerging / Niche,False
Electrical/Electronic Industry,100720.0,6,16786.666666666668,2,Premium (High Value/Bill),True
"Hardware & Equipment, Printers, Scanners, Stationery",99720.0,13,7670.7692307692305,6,Emerging / Niche,False
Healthcare,98178.0,16,6136.125,8,Emerging / Niche,False
Financial Consulting,92171.0,20,4608.55,8,Emerging / Niche,False
Real Estate Development & Management,89910.0,6,14985.0,3,Premium (High Value/Bill),False
Construction Equipment Manufacturing,85503.0,8,10687.875,1,Emerging / Niche,True
Supply Chain,73944.0,4,18486.0,1,Premium (High Value/Bill),True
Chemicals,69796.0,9,7755.111111111111,4,Emerging / Niche,False
IT Services / Consulting,69230.0,9,7692.222222222223,7,Emerging / Niche,False
Aviation,66931.0,11,6084.636363636364,4,Emerging / Niche,False
"Roads, Highways & Bridges, construction",65365.0,14,4668.928571428572,5,Emerging / Niche,False
Indian Financial Service Sectors,62582.0,5,12516.4,3,Premium (High Value/Bill),False
COSMETICS/PHARMACEUTICALS,62475.0,1,62475.0,1,New / Insufficient Data,True
Jewellery,60309.0,9,6701.0,4,Emerging / Niche,False
"Environment, Cleantech, Recycling, Waste Management",58456.0,3,19485.333333333332,3,Premium (High Value/Bill),False
Agrochemicals,57329.0,10,5732.9,5,Emerging / Niche,False
Data Science,56250.0,1,56250.0,1,New / Insufficient Data,True
Communication,55665.0,5,11133.0,1,Emerging / Niche,True
Finance,53166.0,4,13291.5,2,Premium (High Value/Bill),True
Toy Library,53104.0,6,8850.666666666666,1,Emerging / Niche,True
Logistics,52345.0,8,6543.125,3,Emerging / Niche,False
Food & Breverages,51613.0,8,6451.625,1,Emerging / Niche,True
